code,name
7145,PRINSIPTEK CORPORATION BERHAD
7201,PROGRESSIVE IMPACT CORPORATION BERHAD
8966,PROLEXUS BERHAD
5070,PROTASCO BERHAD
5436,PERUSAHAAN SADUR TIMAH MALAYSIA (PERSTIMA) BHD
1295,PUBLIC BANK BERHAD
8273,PUBLIC PACKAGES HOLDINGS BHD
6807,PUNCAK NIAGA HOLDINGS BERHAD
7134,PWF CONSOLIDATED BERHAD
7084,QL RESOURCES BERHAD
7544,QUALITY CONCRETE HOLDINGS BERHAD
7498,RALCO CORPORATION BERHAD
5272,RANHILL HOLDINGS BERHAD
7765,RAPID SYNERGY BERHAD
9296,RCE CAPITAL BERHAD
5256,REACH ENERGY BERHAD
5270,RED SENA BERHAD
7232,RESINTECH BERHAD
9946,REX INDUSTRY BERHAD
0037,RGB INTERNATIONAL BHD
9954,RGT BERHAD
1066,RHB BANK BERHAD
5278,RHONE MA HOLDINGS BERHAD
5113,RIMBUNAN SAWIT BERHAD
2542,RIVERVIEW RUBBER ESTATES BERHAD
9741,ROHAS TECNIC BERHAD
7803,RUBBEREX CORPORATION (M) BERHAD
8567,SALCON BERHAD
0183,SALUTICA BERHAD
9822,SAM ENGINEERING & EQUIPMENT (M) BERHAD
5147,SAMCHEM HOLDINGS BERHAD
9113,SANBUMI HOLDINGS BERHAD
7943,SAND NISKO CAPITAL BERHAD
5218,SAPURA ENERGY BERHAD
7811,SAPURA INDUSTRIAL BERHAD
4596,SAPURA RESOURCES BERHAD
5170,SARAWAK CABLE BERHAD
9237,SARAWAK CONSOLIDATED INDUSTRIES BERHAD
5126,SARAWAK OIL PALMS BERHAD
5135,SARAWAK PLANTATION BERHAD
5252,SASBADI HOLDINGS BERHAD
5157,SAUDEE GROUP BERHAD
5207,SBC CORPORATION BERHAD
7239,SCANWOLF CORPORATION BERHAD
7247,SCGM BHD
0099,SCICOM (MSC) BERHAD
4731,SCIENTEX BERHAD
7045,SCOMI ENERGY SERVICES BHD
7158,SCOMI GROUP BERHAD
7073,SEACERA GROUP BERHAD
4286,SEAL INCORPORATED BERHAD
5145,SEALINK INTERNATIONAL BERHAD
7053,SEE HUP CONSOLIDATED BERHAD
9792,SEG INTERNATIONAL BHD
2224,SELANGOR DREDGING BERHAD
1783,SELANGOR PROPERTIES BERHAD
9431,SENI JAYA CORPORATION BERHAD
5213,SENTORIA GROUP BERHAD
5279,SERBA DINAMIK HOLDINGS BERHAD
5163,SEREMBAN ENGINEERING BERHAD
7180,SERN KOU RESOURCES BERHAD
5517,SHANGRI-LA HOTELS (MALAYSIA) BERHAD
7412,SHH RESOURCES HOLDINGS BERHAD
5173,SHIN YANG SHIPPING CORPORATION BERHAD
6017,SHL CONSOLIDATED BHD
5181,SIG GASES BERHAD
7246,SIGNATURE INTERNATIONAL BERHAD
4197,SIME DARBY BERHAD
5285,SIME DARBY PLANTATION BERHAD
5288,SIME DARBY PROPERTY BERHAD
4316,SIN HENG CHAN (MALAYA) BERHAD
9776,SINMAH CAPITAL BERHAD
2739,SINO HUA-AN INTERNATIONAL BERHAD
8532,SINOTOP HOLDINGS BERHAD
7115,SKB SHUTTERS CORPORATION BERHAD
7155,SKP RESOURCES BHD
