code,category,year_end,net_profit,num_share,price,name,ROI
8605,Consumer,30/06/18,3800,107160,0.36,FEDERAL INTERNATIONAL HOLDINGS BERHAD,9.85
5222,Plantations,31/12/18,-1079952,3648152,0.715,FGV HOLDINGS BERHAD,-41.4
6939,Consumer,30/09/18,32597,504597,0.5,FIAMMA HOLDINGS BERHAD,12.92
0149,Industrial Products,31/05/18,2959,98000,0.515,FIBON BERHAD,5.86
3107,Industrial Products,31/03/18,36110,241115,1.98,FIMA CORPORATION BERHAD,7.56
9318,Industrial Products,31/12/18,15474,445276,0.4,FITTERS DIVERSIFIED BERHAD,8.69
5197,Industrial Products,31/12/18,28416,103957,1.51,FOCUS LUMBER BERHAD,18.1
9172,Consumer,31/12/18,36644,247594,1.68,FORMOSA PROSONIC INDUSTRIES BERHAD,8.81
5277,Industrial Products,30/06/18,7527,518000,0.295,FOUNDPAC GROUP BERHAD,4.93
3689,Consumer,30/09/18,385133,366410,37.72,FRASER & NEAVE HOLDINGS BHD,2.79
7210,Transportation&Logistics,30/06/18,19696,186148,1.05,FREIGHT MANAGEMENT HOLDINGS BERHAD,10.08
0128,Technology,31/12/18,52257,1047968,0.705,FRONTKEN CORPORATION BERHAD,7.07
9377,Technology,30/06/18,-687,140223,0.185,FSBM HOLDINGS BERHAD,-2.65
7184,Consumer,31/12/18,-17147,412500,0.815,G3 GLOBAL BERHAD,-5.1
5226,Construction,31/12/18,63569,468906,0.855,GABUNGAN AQRS BERHAD,15.86
9261,Construction,31/05/18,95122,658851,0.665,GADANG HOLDINGS BHD,21.71
5398,Construction,31/07/18,513883,2467483,3.87,GAMUDA BERHAD,5.38
5209,Utilities,31/12/18,180392,1284000,2.83,GAS MALAYSIA BERHAD,4.96
0078,Transportation&Logistics,30/06/18,23627,5586223,0.405,GD EXPRESS CARRIER BERHAD,1.04
7197,Industrial Products,31/12/18,4501,76927,0.67,GE-SHEN CORPORATION BERHAD,8.73
3182,Consumer,31/12/18,1365581,3850600,6.1,GENTING BERHAD,5.81
4715,Consumer,31/12/18,-19588,5654195,3.02,GENTING MALAYSIA BERHAD,-0.11
2291,Plantations,31/12/18,164898,803690,9.86,GENTING PLANTATIONS BERHAD,2.08
3204,Construction,31/01/18,124433,563269,3.82,GEORGE KENT (MALAYSIA) BERHAD,5.78
5079,Consumer,30/06/18,-10743,126000,0.16,GETS GLOBAL BERHAD,-53.29
